"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2026"
"Soort misdrijf: Totaal misdrijven"
""
"Onderwerp";"Geregistreerde misdrijven";"Geregistreerde misdrijven"
"Mook en Middelaar";"289";"219"
"Neder-Betuwe";"632";"611"
"Nederweert";"398";"444"
"Nieuwegein";"3155";"3427"
"Nieuwkoop";"685";"662"
"Nijkerk";"1407";"1242"
"Nijmegen";"12073";"11931"
"Nissewaard";"3807";"3705"
"Noardeast-Fryslân";"1052";"918"
"Noord-Beveland";"236";"204"
"Noordenveld";"732";"678"
"Noordoostpolder";"1537";"1539"
"Noordwijk";"1731";"1726"
"Nuenen, Gerwen en Nederwetten";"698";"656"
"Nunspeet";"947";"766"
"Oegstgeest";"654";"909"
"Oirschot";"597";"510"
"Oisterwijk";"1075";"999"
"Oldambt";"1545";"1710"
"Oldebroek";"581";"669"
"Oldenzaal";"1174";"1013"
"Olst-Wijhe";"390";"388"
"Ommen";"525";"436"
"Oost Gelre";"724";"690"
"Oosterhout";"2394";"2070"
"Ooststellingwerf";"577";"574"
"Oostzaan";"470";"492"
"Opmeer";"297";"293"
"Opsterland";"578";"549"
"Oss";"4358";"4364"
"Oude IJsselstreek";"938";"929"
"Ouder-Amstel";"934";"906"
"Oudewater";"244";"200"
"Overbetuwe";"1373";"1530"
"Papendrecht";"913";"917"
"Peel en Maas";"1429";"1279"
"Pekela";"348";"379"
"Pijnacker-Nootdorp";"1663";"1663"
"Purmerend";"3331";"3441"
"Putten";"679";"643"
"Raalte";"792";"795"
"Reimerswaal";"689";"639"
"Renkum";"914";"975"
"Renswoude";"121";"110"
"Reusel-De Mierden";"341";"341"
"Rheden";"1497";"1495"
"Rhenen";"515";"626"
"Ridderkerk";"1720";"1706"
"Rijssen-Holten";"945";"881"
"Rijswijk (ZH.)";"3418";"3348"
"Roerdalen";"519";"511"
"Roermond";"3871";"3942"
"De Ronde Venen";"1275";"1239"
"Roosendaal";"4533";"4635"
"Rotterdam";"52896";"53939"
"Rozendaal";"44";"355"
"Rucphen";"795";"805"
"Schagen";"1709";"1720"
"Scherpenzeel";"237";"182"
"Schiedam";"4624";"4889"
"Schiermonnikoog";"36";"39"
"Schouwen-Duiveland";"1184";"1074"
"Simpelveld";"286";"299"
"Sint-Michielsgestel";"760";"642"
"Sittard-Geleen";"4638";"4851"
"Sliedrecht";"658";"665"
"Sluis";"774";"678"
"Smallingerland";"2040";"2243"
"Soest";"1474";"1380"
"Someren";"551";"567"
"Son en Breugel";"697";"646"
"Stadskanaal";"1198";"1077"
"Staphorst";"411";"322"
"Stede Broec";"678";"572"
"Steenbergen";"698";"688"
"Steenwijkerland";"1374";"1204"
"Stein (L.)";"761";"703"
"Stichtse Vecht";"2207";"2323"
"Súdwest-Fryslân";"2834";"2691"
"Terneuzen";"1978";"1937"
"Terschelling";"148";"154"
"Texel";"452";"416"
"Teylingen";"1246";"1228"
"Tholen";"632";"497"
"Tiel";"2031";"2073"
"Tilburg";"14087";"13630"
"Tubbergen";"348";"375"
"Twenterand";"878";"723"
