"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2023"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Maastricht";"63,8";"100";"13,6";"212,5";"21,2"
"Medemblik";"19,6";"100";"7,7";"394,0";"242,6"
"Meerssen";"8,5";"100";"3,2";"375,1";"235,6"
"Meierijstad";"36,0";"100";"16,0";"443,5";"262,2"
"Meppel";"16,0";"100";"3,8";"239,7";"113,1"
"Middelburg (Z.)";"23,5";"100";"6,0";"253,6";"114,8"
"Midden-Delfland";"8,0";"100";"5,1";"643,3";"344,2"
"Midden-Drenthe";"14,8";"100";"4,7";"319,3";"183,4"
"Midden-Groningen";"28,3";"100";"6,3";"220,5";"101,7"
"Moerdijk";"16,7";"100";"5,7";"340,5";"175,4"
"Molenlanden";"17,4";"100";"10,1";"577,1";"251,5"
"Montferland";"16,1";"100";"4,8";"297,0";"150,9"
"Montfoort";"5,8";"100";"3,2";"558,4";"299,7"
"Mook en Middelaar";"3,7";"100";"2,0";"552,9";"301,4"
"Neder-Betuwe";"9,5";"100";"3,7";"386,7";"175,7"
"Nederweert";"7,6";"100";"3,4";"447,5";"269,7"
"Nieuwegein";"30,3";"100";"7,3";"239,6";"152,6"
"Nieuwkoop";"12,2";"100";"6,7";"549,3";"301,2"
"Nijkerk";"18,3";"100";"8,3";"454,0";"261,9"
"Nijmegen";"96,8";"100";"20,0";"206,8";"21,2"
"Nissewaard";"39,2";"100";"7,1";"180,9";"102,9"
"Noardeast-Fryslân";"19,9";"100";"5,7";"286,7";"164,2"
"Noord-Beveland";"3,8";"100";"1,4";"370,5";"173,4"
"Noordenveld";"14,2";"100";"5,6";"395,9";"245,7"
"Noordoostpolder";"20,8";"100";"7,9";"377,0";"137,9"
"Noordwijk";"20,4";"100";"11,9";"583,2";"255,6"
"Nuenen, Gerwen en Nederwetten";"10,4";"100";"5,4";"516,9";"352,4"
"Nunspeet";"11,3";"100";"4,8";"420,6";"223,2"
"Oegstgeest";"11,0";"100";"7,2";"656,6";"379,7"
"Oirschot";"8,0";"100";"4,5";"554,9";"377,3"
"Oisterwijk";"14,3";"100";"9,2";"645,8";"303,4"
"Oldambt";"18,7";"100";"4,4";"234,9";"113,8"
"Oldebroek";"9,5";"100";"3,4";"355,9";"231,6"
"Oldenzaal";"14,3";"100";"4,5";"313,9";"160,8"
"Olst-Wijhe";"7,8";"100";"3,1";"396,8";"239,4"
"Ommen";"7,9";"100";"3,4";"432,1";"253,7"
"Oost Gelre";"12,6";"100";"4,1";"326,4";"191,6"
"Oosterhout";"25,8";"100";"8,5";"328,1";"158,8"
"Ooststellingwerf";"11,5";"100";"3,6";"309,2";"179,0"
"Oostzaan";"4,1";"100";"2,0";"497,8";"357,8"
"Opmeer";"5,3";"100";"2,1";"396,7";"248,9"
"Opsterland";"12,7";"100";"4,5";"350,4";"216,2"
"Oss";"42,2";"100";"13,5";"319,5";"160,5"
"Oude IJsselstreek";"17,3";"100";"5,6";"320,9";"168,5"
"Ouder-Amstel";"6,4";"100";"3,9";"601,2";"273,0"
"Oudewater";"4,4";"100";"3,0";"683,5";"287,2"
"Overbetuwe";"20,3";"100";"7,1";"347,7";"218,8"
"Papendrecht";"14,3";"100";"4,0";"277,9";"166,4"
"Peel en Maas";"19,5";"100";"7,7";"395,1";"238,2"
"Pekela";"5,7";"100";"0,9";"160,4";"73,1"
"Pijnacker-Nootdorp";"22,5";"100";"10,5";"463,9";"310,3"
"Purmerend";"42,5";"100";"12,1";"286,1";"187,5"
"Putten";"10,0";"100";"5,6";"555,0";"329,2"
"Raalte";"16,2";"100";"6,5";"401,8";"267,6"
"Reimerswaal";"9,3";"100";"3,4";"368,0";"141,2"
"Renkum";"14,8";"100";"6,7";"451,3";"229,5"
"Renswoude";"2,3";"100";"1,3";"573,7";"318,1"
"Reusel-De Mierden";"5,7";"100";"2,9";"506,9";"350,4"
"Rheden";"21,0";"100";"6,3";"299,8";"126,5"
"Rhenen";"8,4";"100";"3,8";"452,8";"236,0"
"Ridderkerk";"21,2";"100";"6,0";"283,1";"122,8"
"Rijssen-Holten";"14,6";"100";"7,9";"541,0";"215,0"
"Rijswijk (ZH.)";"27,7";"100";"6,9";"248,0";"87,8"
"Roerdalen";"9,4";"100";"3,1";"324,4";"211,2"
"Roermond";"28,9";"100";"6,7";"230,4";"93,5"
"De Ronde Venen";"19,6";"100";"12,3";"623,7";"307,3"
"Roosendaal";"35,6";"100";"9,0";"252,0";"127,1"
"Rotterdam";"330,3";"100";"63,1";"190,9";"11,5"
"Rozendaal";"0,7";"100";"0,8";"1189,2";"606,3"
"Rucphen";"10,2";"100";"3,6";"350,1";"206,0"
"Schagen";"21,2";"100";"8,1";"385,0";"215,6"
"Scherpenzeel";"4,2";"100";"1,7";"400,3";"249,6"
"Schiedam";"37,9";"100";"7,2";"188,9";"49,1"
"Schiermonnikoog";"0,6";"100";"0,2";"426,9";"192,9"
"Schouwen-Duiveland";"16,0";"100";"6,8";"423,2";"195,4"
"Simpelveld";"4,9";"100";"1,2";"245,3";"149,0"
"Sint-Michielsgestel";"12,5";"100";"6,8";"542,8";"344,0"
"Sittard-Geleen";"45,5";"100";"9,6";"211,7";"103,1"
"Sliedrecht";"10,9";"100";"2,9";"263,7";"136,2"
"Sluis";"11,2";"100";"4,9";"435,3";"218,1"
"Smallingerland";"25,3";"100";"5,9";"234,3";"119,6"
"Soest";"20,9";"100";"9,2";"437,4";"233,6"
"Someren";"8,5";"100";"4,0";"476,1";"277,5"
"Son en Breugel";"7,6";"100";"3,8";"499,5";"292,7"
"Stadskanaal";"14,7";"100";"3,2";"216,4";"96,5"
"Staphorst";"6,2";"100";"3,2";"510,2";"316,0"
"Stede Broec";"9,4";"100";"3,1";"326,9";"208,4"
"Steenbergen";"11,0";"100";"3,6";"327,3";"168,6"
"Steenwijkerland";"20,1";"100";"6,3";"313,3";"156,0"
"Stein (L.)";"11,6";"100";"3,0";"256,8";"189,7"
"Stichtse Vecht";"28,8";"100";"15,4";"533,8";"242,2"
"Súdwest-Fryslân";"40,8";"100";"12,6";"309,8";"153,6"
"Terneuzen";"26,1";"100";"6,6";"254,4";"128,5"
"Terschelling";"2,6";"100";"1,1";"425,2";"222,0"
"Texel";"6,7";"100";"3,3";"490,3";"277,6"
"Teylingen";"16,5";"100";"9,5";"576,8";"267,2"
"Tholen";"11,0";"100";"3,2";"288,0";"142,2"
"Tiel";"19,1";"100";"4,5";"236,2";"99,2"
"Tilburg";"111,5";"100";"22,4";"201,0";"44,4"
"Tubbergen";"8,3";"100";"4,5";"539,0";"336,9"
"Twenterand";"13,4";"100";"4,3";"322,4";"194,6"
"Tynaarlo";"14,6";"100";"6,4";"441,0";"279,8"
"Tytsjerksteradiel";"13,8";"100";"4,0";"291,7";"185,6"
"Uitgeest";"5,7";"100";"2,4";"418,5";"321,1"
"Uithoorn";"13,6";"100";"4,7";"342,0";"204,4"
"Urk";"6,8";"100";"2,7";"394,7";"217,7"
"Utrecht (gemeente)";"183,6";"100";"50,4";"274,4";"30,9"
"Utrechtse Heuvelrug";"21,8";"100";"13,9";"636,7";"299,1"
"Vaals";"5,0";"100";"1,2";"233,2";"85,3"
"Valkenburg aan de Geul";"8,0";"100";"2,6";"324,2";"189,3"
"Valkenswaard";"14,7";"100";"4,9";"332,1";"165,8"
"Veendam";"12,8";"100";"2,3";"177,3";"84,1"
"Veenendaal";"29,0";"100";"8,9";"306,6";"175,3"
"Veere";"9,6";"100";"5,2";"541,6";"320,9"
"Veldhoven";"20,6";"100";"8,7";"421,1";"267,9"
"Velsen";"31,4";"100";"10,6";"336,2";"173,2"
"Venlo";"48,7";"100";"11,5";"236,6";"107,2"
"Venray";"19,9";"100";"6,2";"310,0";"154,2"
"Vijfheerenlanden";"24,6";"100";"8,9";"361,4";"195,2"
"Vlaardingen";"35,4";"100";"6,2";"174,6";"50,7"
"Vlieland";"0,7";"100";"0,3";"391,8";"25,0"
"Vlissingen";"22,6";"100";"4,1";"181,8";"73,2"
"Voerendaal";"5,6";"100";"1,9";"343,7";"230,9"
"Voorne aan Zee";"33,3";"100";"12,5";"374,4";"177,9"
"Voorschoten";"11,2";"100";"6,5";"579,1";"314,6"
"Voorst";"10,5";"100";"5,2";"498,8";"319,0"
"Vught";"13,6";"100";"8,2";"601,8";"279,6"
"Waadhoeke";"20,6";"100";"5,2";"251,8";"131,5"
"Waalre";"7,9";"100";"6,5";"826,8";"347,4"
"Waalwijk";"22,7";"100";"6,8";"299,6";"145,2"
"Waddinxveen";"13,4";"100";"4,3";"324,9";"187,5"
"Wageningen";"21,5";"100";"5,3";"246,1";"20,6"
"Wassenaar";"11,7";"100";"15,5";"1325,5";"330,1"
"Waterland";"7,8";"100";"4,3";"554,8";"294,9"
"Weert";"23,5";"100";"7,3";"308,9";"175,4"
"West Betuwe";"21,3";"100";"9,7";"456,6";"259,2"
"West Maas en Waal";"8,7";"100";"3,7";"426,9";"261,2"
"Westerkwartier";"27,2";"100";"9,2";"338,8";"198,3"
"Westerveld";"8,9";"100";"3,7";"418,0";"265,9"
"Westervoort";"6,8";"100";"1,5";"215,0";"128,2"
"Westerwolde";"11,3";"100";"3,4";"297,5";"171,9"
"Westland";"48,9";"100";"24,3";"496,1";"243,6"
"Weststellingwerf";"11,6";"100";"3,5";"303,5";"170,3"
"Wierden";"9,9";"100";"5,0";"502,5";"260,2"
"Wijchen";"18,1";"100";"6,3";"349,2";"205,8"
"Wijdemeren";"10,8";"100";"7,5";"693,5";"340,6"
"Wijk bij Duurstede";"10,4";"100";"4,3";"416,6";"255,4"
"Winterswijk";"13,0";"100";"4,1";"312,7";"157,7"
"Woensdrecht";"9,8";"100";"3,3";"330,6";"198,3"
"Woerden";"22,5";"100";"11,1";"490,8";"251,9"
"De Wolden";"10,4";"100";"4,7";"457,5";"292,5"
"Wormerland";"7,3";"100";"3,1";"424,7";"247,7"
"Woudenberg";"5,5";"100";"2,6";"470,5";"295,5"
"Zaanstad";"71,5";"100";"17,4";"242,9";"115,0"
"Zaltbommel";"12,5";"100";"4,7";"376,3";"207,6"
"Zandvoort";"8,8";"100";"4,5";"518,2";"209,3"
"Zeewolde";"10,1";"100";"3,9";"386,0";"187,3"
"Zeist";"29,9";"100";"18,4";"616,0";"175,7"
"Zevenaar";"20,5";"100";"5,2";"251,7";"137,5"
"Zoetermeer";"56,7";"100";"13,4";"236,3";"132,9"
"Zoeterwoude";"3,9";"100";"1,9";"475,8";"324,3"
"Zuidplas";"19,0";"100";"8,7";"459,8";"242,7"
"Zundert";"9,8";"100";"5,0";"506,3";"322,0"
"Zutphen";"22,8";"100";"5,5";"240,1";"130,8"
"Zwartewaterland";"8,9";"100";"4,0";"448,1";"172,9"
"Zwijndrecht";"20,4";"100";"5,6";"272,2";"116,7"
"Zwolle";"62,0";"100";"15,7";"254,1";"99,2"
"Gemeenten; niet in te delen";"0,0";".";".";".";"."
"Bron: CBS"
