"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2023"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Noord-Nederland (LD)";"818,8";"100";"213,5";"260,7";"119,8"
"Oost-Nederland (LD)";"1658,3";"100";"527,8";"318,3";"156,7"
"West-Nederland (LD)";"3961,9";"100";"1418,6";"358,1";"114,3"
"Zuid-Nederland (LD)";"1724,1";"100";"553,9";"321,3";"154,8"
"Niet in te delen (LD)";"0,0";".";".";".";"."
"Aa en Hunze";"11,3";"100";"4,5";"394,5";"238,0"
"Aalsmeer";"14,0";"100";"7,9";"561,0";"281,9"
"Aalten";"11,7";"100";"4,1";"350,0";"198,6"
"Achtkarspelen";"12,0";"100";"2,9";"241,8";"143,1"
"Alblasserdam";"8,5";"100";"2,5";"295,8";"144,0"
"Albrandswaard";"10,6";"100";"4,4";"417,2";"247,7"
"Alkmaar";"53,6";"100";"14,1";"263,3";"151,3"
"Almelo";"33,3";"100";"6,9";"208,3";"81,9"
"Almere";"94,0";"100";"20,8";"221,0";"149,5"
"Alphen aan den Rijn";"50,0";"100";"16,3";"325,8";"173,0"
"Alphen-Chaam";"4,4";"100";"2,6";"589,6";"369,6"
"Altena";"23,3";"100";"9,7";"413,7";"220,7"
"Ameland";"1,8";"100";"0,7";"400,5";"254,2"
"Amersfoort";"71,6";"100";"24,3";"339,5";"184,4"
"Amstelveen";"44,0";"100";"21,0";"477,5";"78,0"
"Amsterdam";"489,8";"100";"169,0";"345,1";"13,9"
"Apeldoorn";"75,5";"100";"24,4";"323,8";"164,7"
"Arnhem";"83,0";"100";"16,2";"195,3";"23,4"
"Assen";"32,2";"100";"7,1";"220,2";"115,5"
"Asten";"7,3";"100";"3,3";"452,8";"266,9"
"Baarle-Nassau";"3,1";"100";"1,5";"475,7";"281,7"
"Baarn";"11,2";"100";"6,0";"538,0";"268,0"
"Barendrecht";"19,6";"100";"8,0";"406,5";"238,6"
"Barneveld";"23,2";"100";"11,6";"500,0";"277,3"
"Beek (L.)";"7,6";"100";"2,1";"278,1";"187,6"
"Beekdaelen";"16,3";"100";"5,0";"308,0";"194,7"
"Beesel";"6,0";"100";"1,7";"276,5";"163,2"
"Berg en Dal";"16,2";"100";"5,5";"341,3";"171,0"
"Bergeijk";"8,2";"100";"4,4";"541,8";"347,8"
"Bergen (L.)";"5,7";"100";"1,8";"316,1";"204,6"
"Bergen (NH.)";"14,1";"100";"11,3";"803,0";"397,0"
"Bergen op Zoom";"31,1";"100";"7,4";"239,8";"121,0"
"Berkelland";"19,1";"100";"7,0";"368,1";"236,4"
"Bernheze";"13,3";"100";"6,5";"486,1";"312,3"
"Best";"13,5";"100";"5,3";"393,9";"237,9"
"Beuningen";"11,5";"100";"4,2";"368,1";"221,9"
"Beverwijk";"19,5";"100";"4,7";"239,2";"123,8"
"De Bilt";"19,4";"100";"13,8";"710,5";"338,4"
"Bladel";"9,0";"100";"4,4";"486,3";"312,3"
"Blaricum";"5,2";"100";"9,5";"1832,0";"465,7"
"Bloemendaal";"9,9";"100";"20,2";"2049,6";"636,2"
"Bodegraven-Reeuwijk";"15,0";"100";"8,3";"553,3";"271,7"
"Boekel";"4,4";"100";"2,2";"503,8";"331,0"
"Borger-Odoorn";"11,4";"100";"3,7";"319,7";"169,2"
"Borne";"10,3";"100";"3,4";"329,9";"203,4"
"Borsele";"9,8";"100";"4,3";"442,6";"195,0"
"Boxtel";"14,9";"100";"5,4";"359,7";"187,2"
"Breda";"89,2";"100";"29,5";"330,6";"119,0"
"Bronckhorst";"15,7";"100";"8,4";"535,7";"332,2"
"Brummen";"9,3";"100";"3,4";"364,5";"191,2"
"Brunssum";"13,6";"100";"2,2";"159,8";"88,3"
"Bunnik";"6,9";"100";"3,9";"567,9";"413,8"
"Bunschoten";"8,7";"100";"3,9";"443,6";"259,8"
"Buren";"11,6";"100";"5,4";"465,9";"260,9"
"Capelle aan den IJssel";"31,6";"100";"7,6";"241,3";"101,1"
"Castricum";"16,0";"100";"8,8";"550,1";"377,5"
"Coevorden";"15,8";"100";"4,7";"299,3";"162,5"
"Cranendonck";"9,0";"100";"3,7";"407,6";"257,5"
"Culemborg";"13,0";"100";"3,9";"303,9";"191,5"
"Dalfsen";"12,1";"100";"5,5";"452,5";"303,8"
"Dantumadiel";"8,0";"100";"2,7";"337,1";"193,9"
"Delft";"57,4";"100";"12,4";"215,7";"16,9"
"Deurne";"14,2";"100";"5,8";"407,0";"241,2"
"Deventer";"47,6";"100";"11,7";"245,4";"116,2"
"Diemen";"15,8";"100";"4,1";"257,3";"38,1"
"Dijk en Waard";"37,2";"100";"12,0";"320,9";"215,7"
"Dinkelland";"10,6";"100";"5,4";"508,0";"302,1"
"Doesburg";"5,3";"100";"1,2";"223,1";"88,5"
"Doetinchem";"26,5";"100";"7,3";"274,4";"133,0"
"Dongen";"11,8";"100";"3,7";"310,0";"190,5"
"Dordrecht";"56,4";"100";"13,3";"236,4";"109,2"
"Drechterland";"8,6";"100";"4,2";"487,1";"286,9"
"Drimmelen";"12,2";"100";"4,8";"391,6";"240,9"
"Dronten";"18,6";"100";"6,3";"336,6";"164,0"
"Druten";"8,2";"100";"2,6";"312,8";"184,5"
"Duiven";"10,8";"100";"3,2";"299,1";"182,0"
"Echt-Susteren";"14,5";"100";"4,4";"305,5";"203,4"
"Edam-Volendam";"15,4";"100";"7,5";"485,6";"333,7"
"Ede";"51,3";"100";"20,9";"407,1";"198,5"
"Eemnes";"4,1";"100";"2,2";"549,7";"356,6"
"Eemsdelta";"21,2";"100";"4,7";"219,3";"100,4"
"Eersel";"8,4";"100";"7,3";"863,9";"368,2"
"Eijsden-Margraten";"11,3";"100";"4,9";"434,5";"294,4"
"Eindhoven";"123,8";"100";"28,4";"229,6";"34,4"
"Elburg";"9,6";"100";"3,2";"333,3";"182,6"
"Emmen";"49,5";"100";"9,8";"198,5";"91,9"
"Enkhuizen";"8,8";"100";"2,6";"295,2";"157,9"
"Enschede";"78,2";"100";"15,6";"199,4";"35,9"
"Epe";"14,4";"100";"6,7";"468,0";"262,0"
"Ermelo";"11,6";"100";"5,8";"499,9";"228,3"
"Etten-Leur";"19,4";"100";"5,8";"297,4";"165,6"
"De Fryske Marren";"22,5";"100";"7,8";"347,7";"196,6"
"Geertruidenberg";"9,8";"100";"3,0";"310,4";"152,8"
"Geldrop-Mierlo";"18,2";"100";"6,3";"346,0";"205,2"
"Gemert-Bakel";"13,4";"100";"5,4";"401,8";"234,3"
"Gennep";"7,7";"100";"2,6";"333,2";"196,7"
"Gilze en Rijen";"11,3";"100";"3,5";"309,7";"178,3"
"Goeree-Overflakkee";"22,0";"100";"8,3";"379,2";"183,9"
"Goes";"18,5";"100";"6,0";"322,6";"139,7"
"Goirle";"10,4";"100";"4,3";"416,7";"250,1"
"Gooise Meren";"26,9";"100";"19,3";"718,7";"309,4"
"Gorinchem";"17,3";"100";"4,6";"265,3";"87,4"
"Gouda";"34,7";"100";"8,4";"242,0";"126,7"
"'s-Gravenhage (gemeente)";"272,6";"100";"75,6";"277,5";"23,1"
"Groningen (gemeente)";"133,2";"100";"26,6";"199,7";"13,3"
"Gulpen-Wittem";"6,6";"100";"2,5";"376,8";"237,8"
"Haaksbergen";"10,4";"100";"4,0";"386,2";"231,1"
"Haarlem";"78,8";"100";"29,0";"367,8";"142,6"
"Haarlemmermeer";"68,3";"100";"28,2";"412,5";"264,9"
"Halderberge";"13,4";"100";"4,4";"327,6";"188,8"
"Hardenberg";"25,4";"100";"7,8";"307,5";"165,5"
"Harderwijk";"20,9";"100";"6,6";"316,5";"182,1"
"Hardinxveld-Giessendam";"7,3";"100";"3,0";"405,7";"193,8"
"Harlingen";"7,7";"100";"1,8";"227,4";"85,5"
"Hattem";"5,3";"100";"2,4";"450,8";"227,8"
"Heemskerk";"17,5";"100";"5,7";"325,7";"215,4"
"Heemstede";"12,2";"100";"10,4";"854,3";"499,9"
"Heerde";"8,0";"100";"3,2";"400,5";"263,4"
"Heerenveen";"23,5";"100";"7,0";"299,8";"142,4"
"Heerlen";"45,4";"100";"6,5";"142,4";"31,4"
"Heeze-Leende";"7,1";"100";"3,8";"544,8";"358,3"
"Heiloo";"11,0";"100";"6,3";"571,9";"388,0"
"Den Helder";"27,3";"100";"4,3";"158,5";"68,4"
"Hellendoorn";"14,9";"100";"5,3";"359,0";"216,1"
"Helmond";"42,6";"100";"9,7";"228,3";"86,7"
"Hendrik-Ido-Ambacht";"12,6";"100";"4,5";"360,0";"217,7"
"Hengelo (O.)";"39,1";"100";"8,5";"217,4";"101,7"
"'s-Hertogenbosch";"75,7";"100";"24,5";"324,2";"116,6"
"Heumen";"7,4";"100";"3,0";"411,9";"271,6"
"Heusden";"19,7";"100";"7,9";"402,4";"243,7"
"Hillegom";"10,1";"100";"3,6";"358,1";"227,1"
"Hilvarenbeek";"6,8";"100";"3,7";"541,3";"381,9"
"Hilversum";"43,8";"100";"17,8";"405,3";"148,0"
"Hoeksche Waard";"38,4";"100";"15,6";"407,0";"207,6"
"Hof van Twente";"15,2";"100";"6,2";"408,7";"205,7"
"Het Hogeland";"21,7";"100";"6,6";"302,8";"158,3"
"Hollands Kroon";"21,6";"100";"8,1";"374,8";"185,9"
"Hoogeveen";"24,8";"100";"5,8";"233,9";"113,6"
"Hoorn";"34,3";"100";"9,6";"279,9";"154,8"
"Horst aan de Maas";"19,0";"100";"7,2";"378,0";"223,2"
"Houten";"20,9";"100";"9,5";"452,9";"341,9"
"Huizen";"18,7";"100";"9,1";"485,1";"211,5"
"Hulst";"12,8";"100";"4,4";"347,9";"214,4"
"IJsselstein";"14,4";"100";"5,1";"356,1";"226,2"
"Kaag en Braassem";"12,3";"100";"6,3";"511,4";"277,5"
"Kampen";"22,8";"100";"6,4";"280,1";"148,5"
"Kapelle";"5,5";"100";"2,0";"365,7";"225,8"
"Katwijk";"27,2";"100";"11,3";"415,9";"248,4"
"Kerkrade";"22,9";"100";"3,0";"129,8";"53,0"
"Koggenland";"9,8";"100";"4,4";"451,5";"282,5"
"Krimpen aan den IJssel";"12,4";"100";"4,3";"349,6";"160,5"
"Krimpenerwaard";"24,4";"100";"10,5";"430,6";"227,1"
"Laarbeek";"9,8";"100";"4,2";"430,5";"266,0"
"Land van Cuijk";"39,3";"100";"14,4";"367,6";"218,4"
"Landgraaf";"17,6";"100";"3,2";"182,1";"108,1"
"Landsmeer";"4,9";"100";"3,0";"613,8";"386,6"
"Lansingerland";"25,0";"100";"14,3";"570,5";"306,8"
"Laren (NH.)";"5,2";"100";"10,0";"1920,6";"616,9"
"Leeuwarden";"64,2";"100";"11,8";"183,4";"54,7"
"Leiden";"68,4";"100";"17,4";"254,8";"26,2"
"Leiderdorp";"12,5";"100";".";".";"239,5"
"Leidschendam-Voorburg";"37,1";"100";"16,8";"451,8";"152,0"
"Lelystad";"36,5";"100";"7,9";"216,0";"130,3"
"Leudal";"16,0";"100";"6,3";"392,6";"254,9"
"Leusden";"13,7";"100";"6,1";"445,0";"288,0"
"Lingewaard";"20,0";"100";"7,0";"350,1";"230,6"
"Lisse";"10,6";"100";"4,1";"387,0";"217,0"
"Lochem";"15,2";"100";"8,7";"570,5";"322,0"
"Loon op Zand";"10,3";"100";"3,8";"367,8";"200,4"
"Lopik";"5,8";"100";"3,0";"522,9";"318,2"
"Losser";"9,7";"100";"3,9";"399,7";"204,7"
"Maasdriel";"11,1";"100";"5,1";"460,4";"234,0"
"Maasgouw";"10,8";"100";"3,6";"331,6";"228,4"
"Maashorst";"25,8";"100";"10,5";"407,3";"229,2"
"Maassluis";"15,7";"100";"3,5";"219,5";"96,2"
