"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2024*"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Ermelo";"11,8";"100";"5,7";"487,0";"233,7"
"Etten-Leur";"19,9";"100";"6,0";"300,8";"169,1"
"De Fryske Marren";"22,6";"100";"8,1";"358,9";"203,7"
"Geertruidenberg";"9,8";"100";"3,1";"318,5";"168,7"
"Geldrop-Mierlo";"18,3";"100";"6,4";"349,5";"208,7"
"Gemert-Bakel";"13,4";"100";"5,7";"423,0";"249,0"
"Gennep";"7,8";"100";"2,6";"328,7";"190,6"
"Gilze en Rijen";"11,4";"100";"3,7";"320,3";"196,3"
"Goeree-Overflakkee";"22,2";"100";"8,6";"385,8";"191,7"
"Goes";"18,6";"100";"6,0";"321,5";"150,9"
"Goirle";"10,5";"100";"4,5";"428,5";"260,7"
"Gooise Meren";"27,0";"100";"19,3";"716,3";"313,6"
"Gorinchem";"17,4";"100";"4,6";"267,0";"97,5"
"Gouda";"35,0";"100";"8,7";"249,8";"128,3"
"'s-Gravenhage (gemeente)";"274,0";"100";"74,1";"270,5";"24,1"
"Groningen (gemeente)";"138,2";"100";"26,2";"189,6";"13,2"
"Gulpen-Wittem";"6,6";"100";"2,5";"381,3";"236,0"
"Haaksbergen";"10,4";"100";"4,1";"393,3";"235,2"
"Haarlem";"80,0";"100";"29,5";"368,5";"130,9"
"Haarlemmermeer";"68,8";"100";"28,0";"407,3";"256,1"
"Halderberge";"13,5";"100";"4,5";"335,3";"194,4"
"Hardenberg";"25,6";"100";"8,3";"324,7";"180,5"
"Harderwijk";"21,4";"100";"6,8";"319,0";"178,9"
"Hardinxveld-Giessendam";"7,4";"100";"3,1";"421,7";"211,5"
"Harlingen";"7,8";"100";"1,9";"240,1";"91,9"
"Hattem";"5,3";"100";"2,4";"461,1";"235,6"
"Heemskerk";"17,6";"100";"5,7";"327,4";"207,4"
"Heemstede";"12,2";"100";"10,1";"828,3";"479,4"
"Heerde";"8,0";"100";"3,4";"429,4";"285,8"
"Heerenveen";"23,8";"100";"7,5";"315,2";"143,1"
"Heerlen";"45,7";"100";"6,4";"139,3";"30,0"
"Heeze-Leende";"7,2";"100";"4,1";"566,2";"367,4"
"Heiloo";"11,1";"100";"6,4";"582,1";"378,7"
"Den Helder";"27,5";"100";"4,7";"169,4";"76,9"
"Hellendoorn";"14,9";"100";"5,7";"382,8";"241,8"
"Helmond";"43,2";"100";"10,1";"234,4";"87,9"
"Hendrik-Ido-Ambacht";"12,8";"100";"4,9";"380,4";"229,2"
"Hengelo (O.)";"39,6";"100";"8,9";"225,4";"105,1"
"'s-Hertogenbosch";"77,0";"100";"24,4";"317,2";"110,3"
"Heumen";"7,4";"100";"3,2";"436,0";"285,5"
"Heusden";"19,9";"100";"8,2";"411,5";"242,6"
"Hillegom";"10,3";"100";"3,7";"361,2";"225,2"
"Hilvarenbeek";"6,8";"100";"3,9";"563,5";"392,0"
"Hilversum";"44,5";"100";"18,1";"405,3";"138,6"
"Hoeksche Waard";"38,7";"100";"16,2";"418,2";"219,2"
"Hof van Twente";"15,3";"100";"6,3";"412,5";"212,6"
"Het Hogeland";"21,8";"100";"6,9";"314,2";"164,8"
"Hollands Kroon";"21,9";"100";"8,5";"388,4";"199,2"
"Hoogeveen";"25,0";"100";"6,1";"243,4";"123,1"
"Hoorn";"34,5";"100";"10,1";"292,2";"163,5"
"Horst aan de Maas";"19,3";"100";"7,3";"378,7";"229,3"
"Houten";"21,1";"100";"9,6";"452,6";"331,7"
"Huizen";"18,7";"100";"9,1";"488,2";"217,8"
"Hulst";"12,7";"100";"4,6";"358,9";"223,8"
"IJsselstein";"14,4";"100";"5,5";"383,0";"242,8"
"Kaag en Braassem";"12,7";"100";"6,7";"527,5";"286,3"
"Kampen";"23,0";"100";"6,8";"296,5";"162,1"
"Kapelle";"5,5";"100";"2,1";"380,4";"245,2"
"Katwijk";"27,2";"100";"11,7";"429,9";"258,8"
"Kerkrade";"22,8";"100";"3,0";"130,1";"51,9"
"Koggenland";"9,9";"100";"4,6";"467,6";"296,6"
"Krimpen aan den IJssel";"12,5";"100";"4,4";"356,2";"174,7"
"Krimpenerwaard";"24,5";"100";"10,8";"442,3";"231,7"
"Laarbeek";"9,8";"100";"4,3";"438,8";"275,0"
"Land van Cuijk";"39,5";"100";"15,3";"387,1";"239,4"
"Landgraaf";"17,7";"100";"3,3";"185,1";"104,7"
"Landsmeer";"4,9";"100";"3,0";"604,1";"370,4"
"Lansingerland";"25,4";"100";"14,6";"574,0";"316,5"
"Laren (NH.)";"5,1";"100";"9,3";"1824,9";"614,9"
"Leeuwarden";"65,7";"100";"12,4";"188,3";"53,8"
"Leiden";"71,2";"100";"17,7";"248,4";"25,1"
"Leiderdorp";"12,6";"100";".";".";"237,1"
"Leidschendam-Voorburg";"37,3";"100";"16,9";"454,1";"153,4"
"Lelystad";"36,7";"100";"8,6";"233,5";"138,2"
"Leudal";"16,0";"100";"6,3";"394,6";"255,6"
"Leusden";"13,8";"100";"6,1";"442,2";"284,5"
"Lingewaard";"20,1";"100";"7,3";"364,9";"244,5"
"Lisse";"10,6";"100";"4,2";"390,7";"210,4"
"Lochem";"15,3";"100";"8,6";"564,1";"321,7"
"Loon op Zand";"10,4";"100";"4,0";"385,3";"211,4"
"Lopik";"5,9";"100";"3,1";"532,0";"326,2"
"Losser";"9,8";"100";"3,9";"396,2";"211,5"
"Maasdriel";"11,2";"100";"5,0";"448,3";"242,6"
"Maasgouw";"11,0";"100";"3,7";"333,5";"225,0"
"Maashorst";"26,0";"100";"10,8";"417,1";"238,4"
"Maassluis";"15,9";"100";"3,7";"231,6";"106,7"
"Maastricht";"65,5";"100";"13,4";"205,0";"20,3"
"Medemblik";"19,7";"100";"7,9";"401,2";"244,4"
"Meerssen";"8,5";"100";"3,0";"358,3";"221,3"
"Meierijstad";"36,6";"100";"16,5";"449,8";"264,9"
"Meppel";"16,4";"100";"3,9";"240,4";"111,4"
"Middelburg (Z.)";"23,7";"100";"6,5";"273,0";"133,6"
"Midden-Delfland";"8,0";"100";"5,2";"645,5";"351,8"
"Midden-Drenthe";"14,9";"100";"5,1";"340,8";"207,5"
"Midden-Groningen";"28,4";"100";"6,9";"244,7";"125,6"
"Moerdijk";"16,9";"100";"5,7";"338,3";"182,0"
"Molenlanden";"17,6";"100";"10,5";"596,7";"269,7"
"Montferland";"16,2";"100";"4,9";"300,6";"161,1"
"Montfoort";"5,8";"100";"3,5";"604,9";"319,2"
"Mook en Middelaar";"3,8";"100";"2,0";"527,3";"291,9"
"Neder-Betuwe";"9,6";"100";"3,8";"393,8";"181,0"
"Nederweert";"7,7";"100";"3,2";"420,5";"268,4"
"Nieuwegein";"30,7";"100";"7,2";"236,5";"143,7"
"Nieuwkoop";"12,2";"100";"6,9";"565,6";"318,9"
"Nijkerk";"18,5";"100";"8,7";"469,2";"280,6"
