"Vermogen van huishoudens; huishoudenskenmerken, regio (indeling 2025)"
"Kenmerken van huishoudens: Particuliere huishoudens"
"Perioden: 2022"
"";"Onderwerp"
"";"Particuliere huishoudens";"Particuliere huishoudens relatief ";"Totaal vermogen";"Gemiddeld vermogen";"Mediaan vermogen"
"Regio's";"x 1 000";"%";"mld euro";"1 000 euro";"1 000 euro"
"Ermelo";"11,4";"100";"5,2";"460,6";"221,9"
"Etten-Leur";"19,0";"100";"5,8";"305,1";"180,8"
"De Fryske Marren";"22,3";"100";"7,5";"336,3";"199,8"
"Geertruidenberg";"9,7";"100";"2,9";"300,7";"161,6"
"Geldrop-Mierlo";"18,0";"100";"6,0";"334,9";"202,3"
"Gemert-Bakel";"13,2";"100";"5,2";"391,9";"234,5"
"Gennep";"7,4";"100";"2,4";"322,0";"192,9"
"Gilze en Rijen";"11,2";"100";"3,5";"315,3";"193,2"
"Goeree-Overflakkee";"21,7";"100";"7,6";"349,3";"171,3"
"Goes";"18,2";"100";"5,5";"304,6";"141,1"
"Goirle";"10,3";"100";"4,2";"410,5";"257,9"
"Gooise Meren";"26,3";"100";"18,7";"710,7";"324,8"
"Gorinchem";"17,0";"100";"4,3";"252,1";"79,3"
"Gouda";"34,1";"100";"8,1";"237,5";"127,8"
"'s-Gravenhage (gemeente)";"266,4";"100";"68,5";"257,0";"24,8"
"Groningen (gemeente)";"132,3";"100";"25,6";"193,5";"12,9"
"Gulpen-Wittem";"6,6";"100";"2,4";"364,2";"237,1"
"Haaksbergen";"10,3";"100";"3,7";"364,8";"221,1"
"Haarlem";"77,8";"100";"27,9";"358,1";"155,4"
"Haarlemmermeer";"66,9";"100";"26,4";"394,1";"256,5"
"Halderberge";"13,3";"100";"4,3";"328,1";"197,3"
"Hardenberg";"24,9";"100";"7,5";"302,9";"173,0"
"Harderwijk";"20,8";"100";"6,1";"293,3";"165,5"
"Hardinxveld-Giessendam";"7,2";"100";"2,8";"387,9";"195,4"
"Harlingen";"7,6";"100";"1,7";"223,5";"87,7"
"Hattem";"5,1";"100";"2,6";"510,7";"236,2"
"Heemskerk";"17,4";"100";"5,4";"307,9";"204,8"
"Heemstede";"12,1";"100";"9,9";"818,6";"510,6"
"Heerde";"7,9";"100";"3,1";"390,0";"258,9"
"Heerenveen";"23,2";"100";"6,6";"283,5";"139,0"
"Heerlen";"45,3";"100";"6,0";"133,3";"30,2"
"Heeze-Leende";"7,0";"100";"3,8";"538,3";"366,8"
"Heiloo";"11,0";"100";"5,8";"533,6";"353,6"
"Den Helder";"27,2";"100";"4,0";"146,0";"59,5"
"Hellendoorn";"14,8";"100";"5,2";"353,5";"229,2"
"Helmond";"41,9";"100";"9,6";"228,7";"94,4"
"Hendrik-Ido-Ambacht";"12,4";"100";"4,2";"342,2";"211,3"
"Hengelo (O.)";"38,5";"100";"8,0";"206,4";"94,7"
"'s-Hertogenbosch";"74,4";"100";"23,0";"308,9";"116,6"
"Heumen";"7,3";"100";"3,0";"413,4";"280,4"
