"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2026"
"Soort misdrijf: Totaal misdrijven"
""
"Onderwerp";"Geregistreerde misdrijven"
"Roosendaal";"4185"
"Rotterdam";"54505"
"Rozendaal";"54"
"Rucphen";"862"
"Schagen";"1542"
"Scherpenzeel";"191"
"Schiedam";"5702"
"Schiermonnikoog";"20"
"Schouwen-Duiveland";"1107"
"Simpelveld";"245"
"Sint-Michielsgestel";"657"
"Sittard-Geleen";"5054"
"Sliedrecht";"767"
"Sluis";"715"
"Smallingerland";"2222"
"Soest";"1510"
"Someren";"593"
"Son en Breugel";"625"
"Stadskanaal";"999"
"Staphorst";"379"
"Stede Broec";"648"
"Steenbergen";"701"
"Steenwijkerland";"1133"
"Stein (L.)";"643"
"Stichtse Vecht";"2511"
"Súdwest-Fryslân";"2675"
"Terneuzen";"1866"
"Terschelling";"128"
"Texel";"495"
"Teylingen";"1243"
"Tholen";"583"
"Tiel";"2302"
"Tilburg";"12704"
"Tubbergen";"358"
"Twenterand";"783"
"Tynaarlo";"700"
"Tytsjerksteradiel";"662"
"Uitgeest";"372"
"Uithoorn";"1164"
"Urk";"373"
"Utrecht (gemeente)";"25271"
"Utrechtse Heuvelrug";"1457"
"Vaals";"390"
"Valkenburg aan de Geul";"824"
"Valkenswaard";"1082"
"Veendam";"1046"
"Veenendaal";"2167"
"Veere";"792"
"Veldhoven";"1584"
"Velsen";"2852"
"Venlo";"6112"
"Venray";"1751"
"Vijfheerenlanden";"1823"
"Vlaardingen";"3597"
"Vlieland";"49"
"Vlissingen";"2325"
"Voerendaal";"291"
"Voorne aan Zee";"2382"
"Voorschoten";"820"
"Voorst";"719"
"Vught";"986"
"Waadhoeke";"1142"
"Waalre";"556"
"Waalwijk";"1844"
"Waddinxveen";"1059"
"Wageningen";"1423"
"Wassenaar";"1116"
"Waterland";"410"
"Weert";"2068"
"West Betuwe";"1583"
"West Maas en Waal";"469"
"Westerkwartier";"1372"
"Westerveld";"376"
"Westervoort";"310"
"Westerwolde";"1054"
"Westland";"3519"
"Weststellingwerf";"602"
"Wierden";"722"
"Wijchen";"1318"
"Wijdemeren";"561"
"Wijk bij Duurstede";"466"
"Winterswijk";"1167"
"Woensdrecht";"840"
"Woerden";"2067"
"De Wolden";"503"
"Wormerland";"387"
"Woudenberg";"369"
"Zaanstad";"7402"
"Zaltbommel";"1112"
"Zandvoort";"1088"
